




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4033054 Released 2020-09-10
Analyzed List:	upload_1 (Deinococcus radiodurans)
Reference List:	Deinococcus radiodurans (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Deinococcus radiodurans - REFLIST (3085)	upload_1 (12)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
GMP biosynthetic process (GO:0006177)	3	3	.01	+	 > 100	8.84E-07	2.84E-05
'de novo' AMP biosynthetic process (GO:0044208)	2	2	.01	+	 > 100	8.22E-05	2.16E-03
GMP metabolic process (GO:0046037)	4	4	.02	+	 > 100	8.98E-09	3.64E-07
guanosine-containing compound biosynthetic process (GO:1901070)	4	3	.02	+	 > 100	1.54E-06	4.88E-05
AMP biosynthetic process (GO:0006167)	3	2	.01	+	 > 100	1.37E-04	3.49E-03
AMP metabolic process (GO:0046033)	3	2	.01	+	 > 100	1.37E-04	3.45E-03
purine nucleoside biosynthetic process (GO:0042451)	5	3	.02	+	 > 100	2.46E-06	7.65E-05
purine ribonucleoside biosynthetic process (GO:0046129)	5	3	.02	+	 > 100	2.46E-06	7.53E-05
guanosine-containing compound metabolic process (GO:1901068)	7	4	.03	+	 > 100	4.21E-08	1.60E-06
purine ribonucleoside monophosphate metabolic process (GO:0009167)	20	10	.08	+	 > 100	8.89E-20	1.66E-16
purine nucleoside monophosphate metabolic process (GO:0009126)	20	10	.08	+	 > 100	8.89E-20	8.28E-17
purine nucleobase biosynthetic process (GO:0009113)	4	2	.02	+	 > 100	2.05E-04	5.09E-03
purine ribonucleoside metabolic process (GO:0046128)	8	4	.03	+	 > 100	6.30E-08	2.35E-06
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	19	9	.07	+	 > 100	2.09E-17	9.75E-15
purine nucleoside monophosphate biosynthetic process (GO:0009127)	19	9	.07	+	 > 100	2.09E-17	7.80E-15
IMP metabolic process (GO:0046040)	15	7	.06	+	 > 100	2.46E-13	1.58E-11
purine nucleoside metabolic process (GO:0042278)	9	4	.04	+	 > 100	9.08E-08	3.25E-06
IMP biosynthetic process (GO:0006188)	14	6	.05	+	 > 100	2.87E-11	1.49E-09
'de novo' IMP biosynthetic process (GO:0006189)	13	5	.05	+	98.88	2.80E-09	1.21E-07
ribonucleoside biosynthetic process (GO:0042455)	8	3	.03	+	96.41	7.21E-06	2.10E-04
nucleoside biosynthetic process (GO:0009163)	9	3	.04	+	85.69	9.60E-06	2.71E-04
ribonucleoside metabolic process (GO:0009119)	12	4	.05	+	85.69	2.30E-07	7.78E-06
ribonucleoside monophosphate metabolic process (GO:0009161)	32	10	.12	+	80.34	4.32E-18	2.69E-15
glycosyl compound biosynthetic process (GO:1901659)	10	3	.04	+	77.13	1.24E-05	3.46E-04
ribonucleoside monophosphate biosynthetic process (GO:0009156)	30	9	.12	+	77.12	6.36E-16	9.88E-14
nucleobase biosynthetic process (GO:0046112)	11	3	.04	+	70.11	1.58E-05	4.27E-04
nucleoside monophosphate biosynthetic process (GO:0009124)	34	9	.13	+	68.05	1.69E-15	1.96E-13
nucleoside monophosphate metabolic process (GO:0009123)	39	10	.15	+	65.92	2.40E-17	7.47E-15
purine ribonucleotide biosynthetic process (GO:0009152)	38	9	.15	+	60.89	4.06E-15	3.78E-13
purine nucleotide biosynthetic process (GO:0006164)	40	9	.16	+	57.84	6.11E-15	5.18E-13
purine-containing compound biosynthetic process (GO:0072522)	40	9	.16	+	57.84	6.11E-15	4.95E-13
ribonucleotide biosynthetic process (GO:0009260)	50	10	.19	+	51.42	2.19E-16	4.54E-14
ribonucleoside triphosphate biosynthetic process (GO:0009201)	10	2	.04	+	51.42	8.89E-04	2.13E-02
ribose phosphate biosynthetic process (GO:0046390)	52	10	.20	+	49.44	3.12E-16	5.82E-14
